Municípios,Estado
Almirante Tamandaré,Paraná
Apucarana,Paraná
Arapongas,Paraná
Araucária,Paraná
Cambé,Paraná
Campo Largo,Paraná
Campo Mourão,Paraná
Cascavel,Paraná
Castro,Paraná
Cianorte,Paraná
Colombo,Paraná
Curitiba,Paraná
Fazenda Rio Grande,Paraná
Foz do Iguaçu,Paraná
Francisco Beltrão,Paraná
Guarapuava,Paraná
Ibiporã,Paraná
Irati,Paraná
Londrina,Paraná
Marechal Cândido Rondon,Paraná
Maringá,Paraná
Palmas,Paraná
Paranaguá,Paraná
Paranavaí,Paraná
Pato Branco,Paraná
Pinhais,Paraná
Piraquara,Paraná
Ponta Grossa,Paraná
Prudentópolis,Paraná
Rolândia,Paraná
São José dos Pinhais,Paraná
Telêmaco Borba,Paraná
Toledo,Paraná
Umuarama,Paraná
União da Vitória,Paraná
Abatiá,Paraná
Adrianópolis,Paraná
Agudos do Sul,Paraná
Altamira do Paraná,Paraná
Altônia,Paraná
Alto Paraíso,Paraná
Alto Paraná,Paraná
Alto Piquiri,Paraná
Alvorada do Sul,Paraná
Amaporã,Paraná
Ampére,Paraná
Anahy,Paraná
Andirá,Paraná
Ângulo,Paraná
Antonina,Paraná
Antônio Olinto,Paraná
Arapoti,Paraná
Arapuã,Paraná
Araruna,Paraná
Ariranha do Ivaí,Paraná
Assaí,Paraná
Assis Chateaubriand,Paraná
Astorga,Paraná
Atalaia,Paraná
Balsa Nova,Paraná
Bandeirantes,Paraná
Barbosa Ferraz,Paraná
Barracão,Paraná
Barra do Jacaré,Paraná
Bela Vista da Caroba,Paraná
Bela Vista do Paraíso,Paraná
Bituruna,Paraná
Boa Esperança,Paraná
Boa Esperança do Iguaçu,Paraná
Boa Ventura de São Roque,Paraná
Boa Vista da Aparecida,Paraná
Bocaiúva do Sul,Paraná
Bom Jesus do Sul,Paraná
Bom Sucesso,Paraná
Bom Sucesso do Sul,Paraná
Borrazópolis,Paraná
Braganey,Paraná
Brasilândia do Sul,Paraná
Cafeara,Paraná
Cafelândia,Paraná
Cafezal do Sul,Paraná
Califórnia,Paraná
Cambará,Paraná
Cambira,Paraná
Campina da Lagoa,Paraná
Campina do Simão,Paraná
Campina Grande do Sul,Paraná
Campo Bonito,Paraná
Campo do Tenente,Paraná
Campo Magro,Paraná
Cândido de Abreu,Paraná
Candói,Paraná
Cantagalo,Paraná
Capanema,Paraná
Capitão Leônidas Marques,Paraná
Carambeí,Paraná
Carlópolis,Paraná
Catanduvas,Paraná
Centenário do Sul,Paraná
Cerro Azul,Paraná
Céu Azul,Paraná
