Latitude,Longitude
-25.3133048,-49.2997838
-23.5525327,-51.4610764
-23.4152862,-51.4293961
-25.5861107,-49.4051209
-23.2782035,-51.2779583
-25.4597726,-49.5270851
-24.046329,-52.37802
-24.9554996,-53.4560544
-24.794072,-49.9972914
-23.662036,-52.6103989
-25.309460299999998,-49.18507242898573
-25.4295963,-49.2712724
-25.645841,-49.3126653
-25.5401479,-54.5858139
-26.0790979,-53.0533527
-25.3950986,-51.4622016
-23.2684137,-51.0475907
-25.469663,-50.649287
-23.3112878,-51.1595023
-24.5582532,-54.0587821
-23.425269,-51.9382078
-26.483868,-51.988812
-25.5148822,-48.5226695
-23.08165,-52.461724
-26.2295984,-52.6712474
-25.4443488,-49.1900307
-25.4423273,-49.0604473
-25.0891685,-50.1601812
-25.203358,-50.9895774
-23.3119901,-51.3674145
-25.533816,-49.2072163
-24.3282939,-50.6318021
-24.7222438,-53.7402476
-23.7621152,-53.3116192
-26.228596,-51.0869796
-23.3052967,-50.3102532
-24.6557863,-48.9912769
-25.9890808,-49.3328175
-24.7988854,-52.7131879
-23.8722004,-53.894037
-23.508137,-53.728537
-23.131247,-52.318893
-24.0239021,-53.4417448
-22.7807269,-51.2307721
-23.094272,-52.786597
-25.9168712,-53.4742414
-24.6450861,-53.1337957
-23.0494761,-50.2310027
-23.1958345,-51.9094976
-25.4298854,-48.7125431
-25.9849006,-50.1974516
-24.1457957,-49.8224605
-24.3079525,-51.7901941
-23.9320308,-52.4976047
-24.3834527,-51.5876772
-23.3736041,-50.8454929
-24.4054826,-53.5120468
-23.2350184,-51.6647074
-23.1513833,-52.0529697
-25.5842234,-49.6312741
-23.107788,-50.370407
-24.0287182,-52.00811
-26.252395,-53.6349576
-23.1151788,-50.1813945
-25.8792818,-53.6672545
-22.9948493,-51.1907996
-26.161281,-51.5533319
-24.2411024,-52.7860277
-25.6362851,-53.2139114
-24.88177,-51.5441292
-25.4357216,-53.4067721
-25.206591,-49.114131
-26.1922507,-53.6002033
-23.7101968,-51.7661597
-26.0749256,-52.8348629
-23.9399295,-51.5842203
-24.8179919,-53.118506
-24.1975793,-53.527551
-22.78905,-51.714195
-24.6176963,-53.3218057
-23.900508,-53.512418
-23.6672543,-51.3554556
-23.042273,-50.075281
-23.6002773,-51.5809914
-24.5937926,-52.8038965
-25.1086375,-51.8076658
-25.3046032,-49.0545355
-25.0328004,-52.992976
-25.9814143,-49.684518
-25.3691533,-49.4496921
-24.5747463,-51.3432207
-25.5711951,-52.051107
-25.3735238,-52.1238114
-25.6704878,-53.8083036
-25.481645,-53.611238
-24.9513298,-50.1171293
-23.4285011,-49.7208814
-25.2043528,-53.154826
-22.821497,-51.5951456
-24.8245108,-49.2615181
-25.1484973,-53.8494214
-25.8566167,-52.5294107
-23.3816558,-52.9444098
-26.404065,-52.3513972
-22.8385097,-51.9730135
-23.5497241,-50.5520182
-23.6229983,-50.1706779
-25.678811,-49.535044
-24.7951117,-53.2961804
-23.1825218,-50.6499263
-26.22394,-52.0314509
-25.9803771,-52.5654277
-24.100956,-52.11766
-25.6142278,-53.1299075
-23.7839582,-53.0709425
-22.9623678,-52.1625688
-26.0184626,-51.3503171
-23.9930826,-51.4435583
-24.0383013,-50.455484
-24.9446989,-54.1028594
-22.6565442,-52.8589113
-25.0436147,-52.6800923
-25.7464681,-53.0554369
-23.3847331,-53.2932989
-23.5575611,-52.2185546
-24.5661713,-49.4203013
-25.9435584,-53.1637539
-23.7996003,-52.2592684
-24.7002098,-54.2448233
-23.7246134,-53.8105174
-25.4223729,-52.8376411
-24.0935055,-52.6232183
-24.001212,-51.3222727
-23.9169495,-51.9801443
-25.4148066,-50.5489837
-23.8481018,-50.4059875
-23.3206134,-52.3009856
-26.2589553,-53.308432
-23.6144046,-52.0819003
-22.8663942,-51.3905121
-23.0861312,-51.9540843
-24.2966562,-53.312801
-25.7377144,-52.1209188
-24.0694395,-53.844348
-26.422982,-51.3146691
-24.1925289,-51.9232662
-24.1851885,-53.0250623
-25.1987274,-51.9924229
-24.1454626,-51.5063628
-24.0851924,-54.2567519
-22.9352304,-52.6865101
-25.1909033,-50.8116961
-23.5164582,-50.0431538
-23.340218,-52.778605
-22.970394,-51.6479769
-25.10035,-52.867811
-25.2983566,-48.3290185
-25.8806192,-48.5750905
-26.143149,-52.383794
-23.8452962,-50.1905666
-25.1192916,-53.0071928
-23.3948345,-53.6162036
-24.7170385,-53.0865561
-24.447597,-50.7557188
-25.2293338,-50.6051002
-25.5725435,-51.0764637
-22.7530214,-52.1976067
-23.4807249,-52.6987037
-25.0239759,-50.5854615
-24.0039474,-53.7100595
-24.427888,-53.3539137
-24.4204859,-52.1021817
-22.618282,-51.967351
-25.1417007,-54.2980691
-23.0176678,-50.406887
-23.659424,-51.9903555
-25.9651274,-52.8149217
-25.21926,-49.345427
-22.7302304,-52.8854393
-25.0069795,-50.8568896
-24.2433517,-51.6719268
-23.4084656,-53.3698352
-23.618722,-52.2174491
-23.7431092,-50.0748781
-23.159115,-49.973889
-23.1102516,-51.5327741
-24.2589699,-49.7201518
-23.6003907,-51.645674
-24.140124,-52.77836
-23.8119773,-50.1397133
-23.469273,-52.55572
-24.1795192,-51.6927177
-22.5520625,-52.036373
-23.257815,-50.977748
-24.3807263,-53.3855699
-23.4999724,-49.9232545
-23.4369861,-50.2478173
-24.420866,-52.841344
-23.621931,-52.46931
-23.8242643,-51.6683666
-25.76709,-49.716777
-24.8909736,-52.4726747
-25.4073197,-52.4150132
-23.0789091,-50.7501808
-24.1073464,-51.6525676
-25.2608275,-53.5758136
-22.9320944,-53.1352452
-23.0077055,-51.9524309
-24.2838237,-52.2767531
-24.0793542,-51.7421822
-22.7558205,-51.6575301
-25.8851656,-50.8268768
-24.3084433,-52.5298446
-23.3485076,-52.0966215
-23.5224849,-51.6787511
-25.7772457,-49.3279107
-26.1440729,-53.3113372
-25.9412009,-52.1740852
-24.5177239,-51.6685729
-23.6139395,-53.206135
-23.4820987,-51.795788
-23.7462425,-51.3021452
-22.7358333,-53.04
-24.0031216,-53.148113
-26.3518327,-52.5491563
-24.419978,-53.828641
-26.1472,-53.026741
-25.1133759,-52.2581854
-23.7070343,-51.6408276
-25.2404183,-53.9835004
-25.8187344,-48.5342813
-24.7045571,-52.1493001
-23.9045517,-51.2261166
-25.2954233,-54.0940666
-24.4504957,-54.1647255
-23.257015,-52.7756432
-22.9675823,-51.4847793
-25.0913359,-54.2476738
-24.0509413,-53.0101722
-25.4770051,-48.8321911
-25.4744827,-54.4997449
-22.9138823,-51.7962681
-23.176271,-52.603244
-23.3315888,-50.7182735
-24.5282336,-53.2576703
-24.6739252,-52.5731265
-23.1818437,-52.1999852
-25.9004038,-53.2617627
-23.433056,-50.5618055
-25.305376,-52.544682
-22.7633621,-52.9875908
-23.4699403,-53.090112
-25.6325323,-53.3463611
-23.5860638,-50.7638011
-24.468132,-53.9547649
-24.437958,-51.945357
-23.7632302,-51.5074087
-24.2088891,-50.925043
-23.4047001,-52.1954085
-24.7741302,-53.906938
-23.4575884,-52.048988
-25.4269718,-49.9987787
-24.8842985,-52.2113941
-24.2839929,-53.8405463
-23.2841185,-52.6024125
-22.9304971,-52.1523164
-22.6561084,-52.0865163
-24.6270545,-54.2264587
-26.2092739,-50.936462
-26.0399524,-50.8337759
-23.9142123,-52.3455598
-23.894861,-53.409838
-23.8031666,-53.6824972
-25.827794,-53.743333
-26.0988916,-49.4297904
-23.7889966,-50.0577318
-26.0326418,-53.4837511
-25.6960895,-51.6566366
-24.5346602,-49.9399216
-24.759586,-51.7637582
-23.2313428,-51.587301
-23.0228724,-52.9160307
-25.7184492,-53.767216
-25.574765,-48.3614806
-22.753724,-51.37949
-25.5494226,-49.8973805
-25.5466703,-52.409026
-22.774742,-53.267731
-26.1605673,-51.2239397
-23.039784,-51.4431235
-26.0209403,-53.7396825
-23.2790844,-52.1528771
-22.851714,-51.029251
-24.27904,-53.075881
-23.5669626,-49.9160315
-25.3708987,-49.0745672
-24.5741062,-53.9780237
-25.453001,-52.9090429
-23.083758,-53.483022
-23.8494169,-52.1334452
-25.8737269,-49.4977717
-25.1190203,-54.0301175
-23.070922,-50.9142676
-24.3065214,-52.9551791
-25.7720262,-53.5338306
-25.6259339,-50.6946598
-26.158837,-52.970349
-24.6545336,-50.8484432
-25.8365103,-52.028256
-23.1960492,-49.7568326
-23.4063092,-50.3581945
-25.726644,-50.790534
-23.7618456,-51.4127871
-25.4903906,-52.5262069
-24.3193396,-51.3139672
-25.1885374,-49.3119082
-26.1047668,-49.7982766
-24.5952165,-52.2710073
-23.4171839,-52.7722221
-24.2545374,-51.2505025
-23.319019,-51.5544109
-26.1732041,-53.3619195
-23.6038767,-49.626581
-25.7815642,-53.3085197
-23.2661996,-50.4278622
-23.5176577,-50.7837199
-22.9582028,-53.294859
-23.039993,-51.808014
-24.8591735,-54.3328813
-22.640225,-51.9031333
-23.0013818,-53.1940876
-25.821652,-53.480146
-25.4079427,-53.5677252
-24.9392355,-51.8712242
-23.1499367,-50.5199587
-23.1085921,-53.1103971
-23.7566225,-49.6292826
-25.0511956,-53.6161834
-25.4390809,-54.4019902
-23.2957157,-50.0778957
-22.7365132,-52.3446998
-26.0727118,-53.725556
-22.6973239,-51.792679
-23.315828,-52.476143
-23.7221275,-50.7389164
-25.8273206,-52.7256633
-22.8544849,-52.3371114
-23.9914063,-51.8232148
-25.682971,-50.29492
-25.7086966,-52.9189882
-23.4327325,-52.2924553
-23.7612908,-53.8806252
-23.9171872,-49.6508016
-24.8350864,-54.0621488
-23.394137,-52.645376
-25.866823,-50.382796
-25.349171,-54.240498
-24.9341766,-53.8579529
-23.8660384,-51.8563711
-22.8240967,-53.222755
-23.4647501,-50.7605173
-23.534946,-52.590125
-23.9105099,-50.5791315
-25.6915533,-52.6184857
-24.1141771,-49.4644197
-25.3798835,-54.0538801
-23.0367627,-50.816802
-23.0600434,-51.0373544
-23.687481,-49.830416
-25.7001327,-52.7207833
-23.7223793,-51.0936013
-23.1995071,-52.5000131
-23.7334411,-52.8701739
-23.323146,-53.0712033
-25.3719287,-50.4586285
-23.768329,-52.447002
-22.7264874,-52.6202541
-24.1670468,-54.097432
-24.5151667,-50.4101487
-25.9273376,-49.179265
-23.7777942,-49.9546482
-25.4212699,-53.1837577
-24.9761456,-49.0854528
-23.8672329,-52.8749376
-24.5857992,-53.5129537
-25.043933,-51.5392172
-24.542725,-52.9899678
-23.0853871,-52.1584403
-23.199997,-50.793873
-24.2470771,-50.245452
-25.058614,-53.8785648
-25.8812309,-52.9081757
-25.3816653,-52.2034599
-26.2647687,-52.7804392
-23.8748841,-49.8035872
-23.7361723,-53.4881707
